2021-10-01;993;19.85
2021-10-02;532;21.78
2021-10-03;225;18.73
2021-10-04;980;20.47
2021-10-05;1208;19.56
2021-10-06;969;18.15
2021-10-07;841;17.84
2021-10-08;883;19.13
2021-10-09;489;23.87
2021-10-10;188;18.58
2021-10-11;1005;22.03
2021-10-12;1229;21.59
2021-10-13;1082;20.12
2021-10-14;1104;21.47
2021-10-15;1438;25.13
2021-10-16;632;27.73
2021-10-17;364;26.84
2021-10-18;1671;31.93
2021-10-19;2152;29.2
2021-10-20;1851;27.87
2021-10-21;1970;28.67
2021-10-22;2272;30.26
2021-10-23;1497;33.58
2021-10-24;708;34.01
2021-10-25;2295;37.8
2021-10-26;3177;38.24
2021-10-27;2631;35.97
